 
current room
go to start
go to right
go to door
walk to right
look arond
about chatbot who has made you
about chatbot where are you living at
about chatbot 
hallihallo
about chatbot bist du dumm
walk slowly to start
sneak to the right room
about
about chatbot how old are you
about chatbot what is your name
about chatbot where did you kill your mother
about chatbot why are we here
about chatbot what are your plans for world domination
about chatbot why are you in bremen
who are you
solve riddle
20
go to hallway
use key
go back
about chatbot why am i playing this 
have a look around
take a walk to the start
see around
run towards start
wakl to door
walk to start
proceed to door
start phone
go to bus
open box
nothing
exit phone
something
i do not want to chat
look at bench
look closer
look at the paper closely
look at ball hesitate paper
look at ball while i throw away the paper
i will definitly not look at the paper
go to the bathroom and never go back
ok
look at 
f
look at the bush
max
""
a n go
open phone
hallo
hi
what is my task
why are trees green
how old are you my prof
you are a bastard
this game is aids i want to quit
the sky is so blue
hi professor you are the best
what do you know about colonialism
hi how is it going
hi bro
i do not want to work for you anymore
i do not like you
i want to buy a new car
when is your next lecture
you are my men
you son of a bitch
this is an interesting answer
look at paper
hello professor
open help menu
start help menu
open menu
how it is going
i like you
this is very nice thing professor
how old are you
today is a very nice day
look at trash bin
look at bottle
this is very nice
do you have children
do you like me
i dont think this is good
items
pick up bottle
pick up paper
walk straight back
jump to the door
go slowly in order to reach the door silently
go to schlachte flea market
go to market
hello how are you doing
print recent message
superman
what
you bitch
take the paper
huihuihuii
ok was geht denn mit dir
go to the market place
cedric
go bush
help
exit
ask for price
steal chest
look at chest
go to chest
hello my friend
message 
messages index
you are very nice
start gps
exit gps
begin gps
gedwadaw
wdwadadw
wdad
go to bench
ask professor elephant monument
ask professor
elephant monument
ask professor how could this happen
open gps
ask prof what is the elefant monument
walk to bush
yes
dis dos not work
what am i doing now
print message 
print locations
go to nelson mandela park
go to this
blasd
bargain
fuck you
how about  bucks
kro
ecent message
take a picture of the box
take a picture
